internal_id,gtdb_genus,gtdb_family,gtdb_species
USHLN177,Enterobacter,Enterobacteriaceae,Enterobacter asburiae
USHLN199,Pantoea,Enterobacteriaceae,Pantoea dispersa
USHLN162,Pantoea,Enterobacteriaceae,Pantoea dispersa
USHLN159,Pantoea,Enterobacteriaceae,Pantoea dispersa
USHLN213,Curtobacterium,Microbacteriaceae,Curtobacterium sp001806325
USHLN148,Pantoea,Enterobacteriaceae,Pantoea anthophila
USHLN226,Staphylococcus,Staphylococcaceae,Staphylococcus epidermidis
USHLN211,Bacillus,Bacillaceae,Bacillus altitudinis
USHLN228,Kocuria,Micrococcaceae,Kocuria marina
USHLN215,Kocuria,Micrococcaceae,Kocuria rosea
USHLN192,Bacillus_A,Bacillaceae_G,Bacillus_A cereus
USHLN197,Bacillus,Bacillaceae,Bacillus altitudinis
USHLN193,Bacillus_A,Bacillaceae_G,Bacillus_A thuringiensis
USHLN232,Micrococcus,Micrococcaceae,Micrococcus luteus
USHLN208,Cellulosimicrobium,Cellulomonadaceae,Cellulosimicrobium cellulans_E
USHLN194,NA,NA,NA
USHLN188,Bacillus,Bacillaceae,Bacillus subtilis
USHLN143,Acinetobacter,Moraxellaceae,Acinetobacter fasciculus
USHLN169,Staphylococcus,Staphylococcaceae,Staphylococcus nepalensis
USHLN183,Bacillus_A,Bacillaceae_G,Bacillus_A cereus
USHLN186,Microbacterium,Microbacteriaceae,NA
USHLN149,JAATFS01,Xanthomonadaceae,NA
USHLN175,NA,NA,NA
USHLN218,Arthrobacter_F,Micrococcaceae,NA
USHLN210,Kocuria,Micrococcaceae,Kocuria marina
USHLN180,Pseudescherichia,Enterobacteriaceae,Pseudescherichia vulneris
USHLN168,Bacillus_A,Bacillaceae_G,Bacillus_A cereus
USHLN167,Enterobacter,Enterobacteriaceae,Enterobacter mori
USHLN191,Pseudescherichia,Enterobacteriaceae,Pseudescherichia vulneris
USHLN165,Pantoea,Enterobacteriaceae,Pantoea vagans
USHLN178,Pseudescherichia,Enterobacteriaceae,Pseudescherichia vulneris
USHLN173,Staphylococcus,Staphylococcaceae,Staphylococcus nepalensis
USHLN248,Sporosarcina,Planococcaceae,NA
USHLN139,Roseomonas,Acetobacteraceae,NA
USHLN227,Chryseobacterium,Weeksellaceae,Chryseobacterium mucoviscidosis
USHLN196,Paenibacillus,Paenibacillaceae,NA
USHLN157,Klebsiella,Enterobacteriaceae,Klebsiella michiganensis
USHLN154,Leucobacter,Microbacteriaceae,Leucobacter sp001373475
USHLN155,Oerskovia,Cellulomonadaceae,Oerskovia sp005937995
USHLN152,Bacillus_A,Bacillaceae_G,Bacillus_A thuringiensis_S
USHLN150,Rhodococcus,Mycobacteriaceae,Rhodococcus globerulus
USHLN030,Paenibacillus,Paenibacillaceae,Paenibacillus illinoisensis
USHLN023,Bacillus_AG,Bacillaceae_H,Bacillus_AG koreensis
USHLN021,Aeromonas,Aeromonadaceae,Aeromonas hydrophila
USHLN022,Bacillus_A,Bacillaceae_G,Bacillus_A bombysepticus
USHLN32,Pantoea,Enterobacteriaceae,Pantoea endophytica
USHLN33,Erwinia,Enterobacteriaceae,Erwinia aphidicola
USHLN038,NA,NA,NA
USHLN34,Pantoea,Enterobacteriaceae,Pantoea ananatis
USHLN35,Pantoea,Enterobacteriaceae,Pantoea ananatis
USHLN028,Lysinibacillus,Planococcaceae,Lysinibacillus fusiformis
USHLN029,Lysinibacillus,Planococcaceae,Lysinibacillus fusiformis
USHLN031,NA,NA,NA
USHLN031,NA,NA,NA
