#BGC Name	Clan Number	Family Number
VD34_contigs.fa_antismash_contig00018.region001	28	5162
VD34_contigs.fa_antismash_contig00046.region001	28	5171
VD34_contigs.fa_antismash_contig00047.region001	28	5172
VD34_contigs.fa_antismash_contig00053.region001	28	5174
VD34_contigs.fa_antismash_contig00055.region001	28	5175
VD34_contigs.fa_antismash_contig00065.region001	28	5177
VD34_contigs.fa_antismash_contig00073.region001	28	5178
VD34_contigs.fa_antismash_contig00074.region001	28	5179
VD34_contigs.fa_antismash_contig00083.region001	28	5179
VD7_contigs.fa_antismash_contig00007.region001	28	5189
MMO-142_contigs.fa_antismash_contig00006.region001	3596	3295
MMO-146_contigs.fa_antismash_contig00007.region001	3596	3295
MMO-54_contigs.fa_antismash_contig00004.region002	3596	3596
MMO-68_contigs.fa_antismash_contig00004.region002	3596	3596
MMO-80_contigs.fa_antismash_contig00003.region002	3596	3596
MMO-87_contigs.fa_antismash_contig00004.region001	3596	3596
MMO-93_contigs.fa_antismash_contig00004.region001	3596	3596
