user_genome	parent	class	order	family	genus	species
USHLN226	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus epidermidis
USHLN227	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Chryseobacterium	Chryseobacterium mucoviscidosis
USHLN228	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Kocuria	Kocuria marina
USHLN229	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus
USHLN230	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus
USHLN232	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Micrococcus	Micrococcus luteus
USHLN234	Actinobacteriota	Actinomycetia	Actinomycetales	Micrococcaceae	Sinomonas	Sinomonas albida
USHLN248	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Sporosarcina	NA
USHLN021	Proteobacteria	Gammaproteobacteria	Enterobacterales	Aeromonadaceae	Aeromonas	Aeromonas hydrophila
USHLN022	Firmicutes	Bacilli	Bacillales	Bacillaceae_G	Bacillus_A	Bacillus_A bombysepticus
USHLN023	Firmicutes	Bacilli	Bacillales	Bacillaceae_H	Bacillus_AG	Bacillus_AG koreensis
USHLN028	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Lysinibacillus	Lysinibacillus fusiformis
USHLN029	Firmicutes	Bacilli	Bacillales_A	Planococcaceae	Lysinibacillus	Lysinibacillus fusiformis
USHLN030	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus illinoisensis
USHLN031	NA	NA	NA	NA	NA	NA
USHLN038	NA	NA	NA	NA	NA	NA
USHLN32	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea endophytica
USHLN33	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Erwinia	Erwinia aphidicola
USHLN34	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea ananatis
USHLN35	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea ananatis
